ticker,title,source,url,description,published_at,author,content
MSFT,"Powell’s parting gift from the Fed may be more rate cuts than expected, courtesy of deteriorating data",Fortune,https://fortune.com/2026/02/11/powell-parting-fed-gift-rate-cuts-unemployment-reports/,"Recent ""releases helped to validate the dovish arguments pushing for more rate cuts this year,"" Deutsche Bank's Henry Allen noted.",2026-02-11 12:03:08+00:00,Eleanor Pringle,"While the bridge between President Trump and Fed chairman Jerome Powell has been well and truly burned, the outgoing central bank chief may yet set the stage for further interest rate cuts that the W… [+4329 chars]"
GOOGL,"Powell’s parting gift from the Fed may be more rate cuts than expected, courtesy of deteriorating data",Fortune,https://fortune.com/2026/02/11/powell-parting-fed-gift-rate-cuts-unemployment-reports/,"Recent ""releases helped to validate the dovish arguments pushing for more rate cuts this year,"" Deutsche Bank's Henry Allen noted.",2026-02-11 12:03:08+00:00,Eleanor Pringle,"While the bridge between President Trump and Fed chairman Jerome Powell has been well and truly burned, the outgoing central bank chief may yet set the stage for further interest rate cuts that the W… [+4329 chars]"
AAPL,"Powell’s parting gift from the Fed may be more rate cuts than expected, courtesy of deteriorating data",Fortune,https://fortune.com/2026/02/11/powell-parting-fed-gift-rate-cuts-unemployment-reports/,"Recent ""releases helped to validate the dovish arguments pushing for more rate cuts this year,"" Deutsche Bank's Henry Allen noted.",2026-02-11 12:03:08+00:00,Eleanor Pringle,"While the bridge between President Trump and Fed chairman Jerome Powell has been well and truly burned, the outgoing central bank chief may yet set the stage for further interest rate cuts that the W… [+4329 chars]"
AAPL,"Ashok Leyland Q3 results: Net profit rises 5% to ₹862 crore, revenue up 22%",Business Standard,https://www.business-standard.com/companies/quarterly-results/ashok-leyland-posts-5pc-rise-in-q3-consolidated-net-126021104589-126021101168_1.html,"Ashok Leyland reported a 5% rise in Q3FY26 consolidated net profit to ₹862 crore, with revenue up 22% and continued gains in MHCV and LCV volumes",2026-02-11 12:01:39+00:00,Shine Jacob,"Ashok Leyland posted strong Q3 FY26 results, with double-digit revenue growth, record Ebitda, market share gains and a confident outlook backed by GST reforms."
GOOGL,"Ashok Leyland Q3 results: Net profit rises 5% to ₹862 crore, revenue up 22%",Business Standard,https://www.business-standard.com/companies/quarterly-results/ashok-leyland-posts-5pc-rise-in-q3-consolidated-net-126021104589-126021101168_1.html,"Ashok Leyland reported a 5% rise in Q3FY26 consolidated net profit to ₹862 crore, with revenue up 22% and continued gains in MHCV and LCV volumes",2026-02-11 12:01:39+00:00,Shine Jacob,"Ashok Leyland posted strong Q3 FY26 results, with double-digit revenue growth, record Ebitda, market share gains and a confident outlook backed by GST reforms."
MSFT,"Ashok Leyland Q3 results: Net profit rises 5% to ₹862 crore, revenue up 22%",Business Standard,https://www.business-standard.com/companies/quarterly-results/ashok-leyland-posts-5pc-rise-in-q3-consolidated-net-126021104589-126021101168_1.html,"Ashok Leyland reported a 5% rise in Q3FY26 consolidated net profit to ₹862 crore, with revenue up 22% and continued gains in MHCV and LCV volumes",2026-02-11 12:01:39+00:00,Shine Jacob,"Ashok Leyland posted strong Q3 FY26 results, with double-digit revenue growth, record Ebitda, market share gains and a confident outlook backed by GST reforms."
AAPL,SAIC Announces Preliminary Unaudited Fourth Quarter and Full Fiscal Year 2026 Financial Results and Updated Fiscal Year 2027 Guidance,GlobeNewswire,https://www.globenewswire.com/news-release/2026/02/11/3236148/0/en/SAIC-Announces-Preliminary-Unaudited-Fourth-Quarter-and-Full-Fiscal-Year-2026-Financial-Results-and-Updated-Fiscal-Year-2027-Guidance.html,"RESTON, Va., Feb. 11, 2026 (GLOBE NEWSWIRE) -- Science Applications International Corp. (NASDAQ: SAIC), a leading mission integrator supporting defense, space, intelligence and civilian agencies, today announced unaudited preliminary financial results for the…",2026-02-11 12:01:00+00:00,"SAIC, Inc.","RESTON, Va., Feb. 11, 2026 (GLOBE NEWSWIRE) -- Science Applications International Corp. (NASDAQ: SAIC), a leading mission integrator supporting defense, space, intelligence and civilian agencies, tod… [+8614 chars]"
MSFT,SAIC Announces Preliminary Unaudited Fourth Quarter and Full Fiscal Year 2026 Financial Results and Updated Fiscal Year 2027 Guidance,GlobeNewswire,https://www.globenewswire.com/news-release/2026/02/11/3236148/0/en/SAIC-Announces-Preliminary-Unaudited-Fourth-Quarter-and-Full-Fiscal-Year-2026-Financial-Results-and-Updated-Fiscal-Year-2027-Guidance.html,"RESTON, Va., Feb. 11, 2026 (GLOBE NEWSWIRE) -- Science Applications International Corp. (NASDAQ: SAIC), a leading mission integrator supporting defense, space, intelligence and civilian agencies, today announced unaudited preliminary financial results for the…",2026-02-11 12:01:00+00:00,"SAIC, Inc.","RESTON, Va., Feb. 11, 2026 (GLOBE NEWSWIRE) -- Science Applications International Corp. (NASDAQ: SAIC), a leading mission integrator supporting defense, space, intelligence and civilian agencies, tod… [+8614 chars]"
GOOGL,SAIC Announces Preliminary Unaudited Fourth Quarter and Full Fiscal Year 2026 Financial Results and Updated Fiscal Year 2027 Guidance,GlobeNewswire,https://www.globenewswire.com/news-release/2026/02/11/3236148/0/en/SAIC-Announces-Preliminary-Unaudited-Fourth-Quarter-and-Full-Fiscal-Year-2026-Financial-Results-and-Updated-Fiscal-Year-2027-Guidance.html,"RESTON, Va., Feb. 11, 2026 (GLOBE NEWSWIRE) -- Science Applications International Corp. (NASDAQ: SAIC), a leading mission integrator supporting defense, space, intelligence and civilian agencies, today announced unaudited preliminary financial results for the…",2026-02-11 12:01:00+00:00,"SAIC, Inc.","RESTON, Va., Feb. 11, 2026 (GLOBE NEWSWIRE) -- Science Applications International Corp. (NASDAQ: SAIC), a leading mission integrator supporting defense, space, intelligence and civilian agencies, tod… [+8614 chars]"
AAPL,Cielo Executes Binding LOI to Advance Clean Fuels Project Development Through Strategic Asset Acquisition and Concurrent Financing,Financial Post,https://financialpost.com/globe-newswire/cielo-executes-binding-loi-to-advance-clean-fuels-project-development-through-strategic-asset-acquisition-and-concurrent-financing,"THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO THE UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES CALGARY, Alberta, Feb. 11, 2026 (GLOBE NEWSWIRE) — Cielo Waste Solutions Corp. (TSXV: CMC; OTCQB: CWSFF) (“Cielo” or the “Company”) is p…",2026-02-11 12:00:52+00:00,GlobeNewswire,"Financing 
The Financing is a non-brokered private placement for aggregate proceeds of $1,000,000 CDN and is expected to include participation by certain principals of CDL as well as certain insider… [+4133 chars]"
MSFT,Cielo Executes Binding LOI to Advance Clean Fuels Project Development Through Strategic Asset Acquisition and Concurrent Financing,Financial Post,https://financialpost.com/globe-newswire/cielo-executes-binding-loi-to-advance-clean-fuels-project-development-through-strategic-asset-acquisition-and-concurrent-financing,"THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO THE UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES CALGARY, Alberta, Feb. 11, 2026 (GLOBE NEWSWIRE) — Cielo Waste Solutions Corp. (TSXV: CMC; OTCQB: CWSFF) (“Cielo” or the “Company”) is p…",2026-02-11 12:00:52+00:00,GlobeNewswire,"Financing 
The Financing is a non-brokered private placement for aggregate proceeds of $1,000,000 CDN and is expected to include participation by certain principals of CDL as well as certain insider… [+4133 chars]"
GOOGL,Cielo Executes Binding LOI to Advance Clean Fuels Project Development Through Strategic Asset Acquisition and Concurrent Financing,Financial Post,https://financialpost.com/globe-newswire/cielo-executes-binding-loi-to-advance-clean-fuels-project-development-through-strategic-asset-acquisition-and-concurrent-financing,"THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO THE UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES CALGARY, Alberta, Feb. 11, 2026 (GLOBE NEWSWIRE) — Cielo Waste Solutions Corp. (TSXV: CMC; OTCQB: CWSFF) (“Cielo” or the “Company”) is p…",2026-02-11 12:00:52+00:00,GlobeNewswire,"Financing 
The Financing is a non-brokered private placement for aggregate proceeds of $1,000,000 CDN and is expected to include participation by certain principals of CDL as well as certain insider… [+4133 chars]"
MSFT,UNISYNC Corp. Reports Q1 Fiscal 2026 Results,Financial Post,https://financialpost.com/globe-newswire/unisync-corp-reports-q1-fiscal-2026-results,"TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) — Unisync Corp. (“Unisync”) (TSX:”UNI”) (OTC:“USYNF”) today announced its financial results for the three months ended December 31, 2025, reporting net income of $0.9 million ($0.05 per share), compared to a net loss of…",2026-02-11 12:00:33+00:00,GlobeNewswire,"TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) Unisync Corp. (Unisync) (TSX:UNI) (OTC:USYNF) today announced its financial results for the three months ended December 31, 2025, reporting net income of $0.9 … [+6070 chars]"
GOOGL,UNISYNC Corp. Reports Q1 Fiscal 2026 Results,Financial Post,https://financialpost.com/globe-newswire/unisync-corp-reports-q1-fiscal-2026-results,"TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) — Unisync Corp. (“Unisync”) (TSX:”UNI”) (OTC:“USYNF”) today announced its financial results for the three months ended December 31, 2025, reporting net income of $0.9 million ($0.05 per share), compared to a net loss of…",2026-02-11 12:00:33+00:00,GlobeNewswire,"TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) Unisync Corp. (Unisync) (TSX:UNI) (OTC:USYNF) today announced its financial results for the three months ended December 31, 2025, reporting net income of $0.9 … [+6070 chars]"
AAPL,UNISYNC Corp. Reports Q1 Fiscal 2026 Results,Financial Post,https://financialpost.com/globe-newswire/unisync-corp-reports-q1-fiscal-2026-results,"TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) — Unisync Corp. (“Unisync”) (TSX:”UNI”) (OTC:“USYNF”) today announced its financial results for the three months ended December 31, 2025, reporting net income of $0.9 million ($0.05 per share), compared to a net loss of…",2026-02-11 12:00:33+00:00,GlobeNewswire,"TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) Unisync Corp. (Unisync) (TSX:UNI) (OTC:USYNF) today announced its financial results for the three months ended December 31, 2025, reporting net income of $0.9 … [+6070 chars]"
AAPL,Morning Bid: Retail softens as jobs loom,Yahoo Entertainment,https://finance.yahoo.com/news/morning-bid-retail-softens-jobs-114440121.html,"and global markets today , Editor-At-Large, Finance and Markets Just as everyone was waiting nervously for the January payrolls report due later today...",2026-02-11 11:44:40+00:00,By Mike Dolan,"By Mike Dolan
11 Feb -
What matters in U.S. and global markets today
By Mike Dolan, Editor-At-Large, Finance and Markets
Just as everyone was waiting nervously for the January payrolls report due… [+3965 chars]"
MSFT,Morning Bid: Retail softens as jobs loom,Yahoo Entertainment,https://finance.yahoo.com/news/morning-bid-retail-softens-jobs-114440121.html,"and global markets today , Editor-At-Large, Finance and Markets Just as everyone was waiting nervously for the January payrolls report due later today...",2026-02-11 11:44:40+00:00,By Mike Dolan,"By Mike Dolan
11 Feb -
What matters in U.S. and global markets today
By Mike Dolan, Editor-At-Large, Finance and Markets
Just as everyone was waiting nervously for the January payrolls report due… [+3965 chars]"
GOOGL,Morning Bid: Retail softens as jobs loom,Yahoo Entertainment,https://finance.yahoo.com/news/morning-bid-retail-softens-jobs-114440121.html,"and global markets today , Editor-At-Large, Finance and Markets Just as everyone was waiting nervously for the January payrolls report due later today...",2026-02-11 11:44:40+00:00,By Mike Dolan,"By Mike Dolan
11 Feb -
What matters in U.S. and global markets today
By Mike Dolan, Editor-At-Large, Finance and Markets
Just as everyone was waiting nervously for the January payrolls report due… [+3965 chars]"
MSFT,Meetings Run Smoother When Teams Audio Gets One Tweak,Geeky Gadgets,https://www.geeky-gadgets.com/teams-productivity-tips-2026/,"Have you ever wondered how much time you might be wasting by not fully using the platforms you use every day? In this guide, Tutorials by Manizha & Ryan explains how to unlock the hidden potential of Microsoft Teams, transforming it from a basic communication…",2026-02-11 11:42:07+00:00,Julian Horsey,"Have you ever wondered how much time you might be wasting by not fully using the platforms you use every day? In this guide, Tutorials by Manizha &amp; Ryan explains how to unlock the hidden potentia… [+7525 chars]"
GOOGL,Meetings Run Smoother When Teams Audio Gets One Tweak,Geeky Gadgets,https://www.geeky-gadgets.com/teams-productivity-tips-2026/,"Have you ever wondered how much time you might be wasting by not fully using the platforms you use every day? In this guide, Tutorials by Manizha & Ryan explains how to unlock the hidden potential of Microsoft Teams, transforming it from a basic communication…",2026-02-11 11:42:07+00:00,Julian Horsey,"Have you ever wondered how much time you might be wasting by not fully using the platforms you use every day? In this guide, Tutorials by Manizha &amp; Ryan explains how to unlock the hidden potentia… [+7525 chars]"
AAPL,Meetings Run Smoother When Teams Audio Gets One Tweak,Geeky Gadgets,https://www.geeky-gadgets.com/teams-productivity-tips-2026/,"Have you ever wondered how much time you might be wasting by not fully using the platforms you use every day? In this guide, Tutorials by Manizha & Ryan explains how to unlock the hidden potential of Microsoft Teams, transforming it from a basic communication…",2026-02-11 11:42:07+00:00,Julian Horsey,"Have you ever wondered how much time you might be wasting by not fully using the platforms you use every day? In this guide, Tutorials by Manizha &amp; Ryan explains how to unlock the hidden potentia… [+7525 chars]"
MSFT,Supply Chain Checks Show Non-Doom Scenario has Legs,Asymco.com,https://asymco.com/2026/02/11/supply-chain-checks-show-non-doom-scenario-has-legs/,"GF Securities said a recent survey on the tech giant’s supply chain suggests a “solid outlook.” “Following the earnings call on Jan. 29, 2026, we did a supply chain research which indicates strong iPhone build momentum (incl. 2H26’s models) as well as cost ma…",2026-02-11 11:38:03+00:00,Horace Dediu,"GF Securities said a recent survey on the tech giant’s supply chain suggests a solid outlook.Following the earnings call on Jan. 29, 2026, we did a supply chain research which indicates strong iPhone… [+2386 chars]"
GOOGL,Supply Chain Checks Show Non-Doom Scenario has Legs,Asymco.com,https://asymco.com/2026/02/11/supply-chain-checks-show-non-doom-scenario-has-legs/,"GF Securities said a recent survey on the tech giant’s supply chain suggests a “solid outlook.” “Following the earnings call on Jan. 29, 2026, we did a supply chain research which indicates strong iPhone build momentum (incl. 2H26’s models) as well as cost ma…",2026-02-11 11:38:03+00:00,Horace Dediu,"GF Securities said a recent survey on the tech giant’s supply chain suggests a solid outlook.Following the earnings call on Jan. 29, 2026, we did a supply chain research which indicates strong iPhone… [+2386 chars]"
AAPL,Supply Chain Checks Show Non-Doom Scenario has Legs,Asymco.com,https://asymco.com/2026/02/11/supply-chain-checks-show-non-doom-scenario-has-legs/,"GF Securities said a recent survey on the tech giant’s supply chain suggests a “solid outlook.” “Following the earnings call on Jan. 29, 2026, we did a supply chain research which indicates strong iPhone build momentum (incl. 2H26’s models) as well as cost ma…",2026-02-11 11:38:03+00:00,Horace Dediu,"GF Securities said a recent survey on the tech giant’s supply chain suggests a solid outlook.Following the earnings call on Jan. 29, 2026, we did a supply chain research which indicates strong iPhone… [+2386 chars]"
GOOGL,Cineplex Reports Fourth Quarter and Annual 2025 Results,Financial Post,https://financialpost.com/globe-newswire/cineplex-reports-fourth-quarter-and-annual-2025-results,"Announces Board of Director Changes TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) — (TSX: CGX) – Today, Cineplex Inc. (“Cineplex” or the “Company”) released its financial results for the three months and year ended December 31, 2025. Unless otherwise specified, all…",2026-02-11 11:34:52+00:00,GlobeNewswire,"CMPP: Calculated as total cinema media revenues divided by total paid theatre attendance for the period.
Premium priced product: Defined as 3D, 4DX, UltraAVX, IMAX, ScreenX and VIP film product.
Th… [+3595 chars]"
MSFT,Cineplex Reports Fourth Quarter and Annual 2025 Results,Financial Post,https://financialpost.com/globe-newswire/cineplex-reports-fourth-quarter-and-annual-2025-results,"Announces Board of Director Changes TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) — (TSX: CGX) – Today, Cineplex Inc. (“Cineplex” or the “Company”) released its financial results for the three months and year ended December 31, 2025. Unless otherwise specified, all…",2026-02-11 11:34:52+00:00,GlobeNewswire,"CMPP: Calculated as total cinema media revenues divided by total paid theatre attendance for the period.
Premium priced product: Defined as 3D, 4DX, UltraAVX, IMAX, ScreenX and VIP film product.
Th… [+3595 chars]"
AAPL,Cineplex Reports Fourth Quarter and Annual 2025 Results,Financial Post,https://financialpost.com/globe-newswire/cineplex-reports-fourth-quarter-and-annual-2025-results,"Announces Board of Director Changes TORONTO, Feb. 11, 2026 (GLOBE NEWSWIRE) — (TSX: CGX) – Today, Cineplex Inc. (“Cineplex” or the “Company”) released its financial results for the three months and year ended December 31, 2025. Unless otherwise specified, all…",2026-02-11 11:34:52+00:00,GlobeNewswire,"CMPP: Calculated as total cinema media revenues divided by total paid theatre attendance for the period.
Premium priced product: Defined as 3D, 4DX, UltraAVX, IMAX, ScreenX and VIP film product.
Th… [+3595 chars]"
MSFT,Ethereum Price Drifts Lower as Bearish Pressure Mounts: SUBBD Community Grows,Bitcoinist,https://bitcoinist.com/ethereum-price-drifts-lower-subbd-grows/,"Quick Facts: ➡️ Ethereum is facing significant bearish pressure, struggling below its 50-day moving average and fighting to stay above $2K. ➡️ A consistent decisive break below $2K support could trigger a deeper correction toward the $1.4K psychological mark.…",2026-02-11 11:34:36+00:00,Ben Wallis,"Quick Facts:
<ul><li> Ethereum is facing significant bearish pressure, struggling below its 50-day moving average and fighting to stay above $2K.</li><li> A consistent decisive break below $2K suppo… [+4105 chars]"
AAPL,Ethereum Price Drifts Lower as Bearish Pressure Mounts: SUBBD Community Grows,Bitcoinist,https://bitcoinist.com/ethereum-price-drifts-lower-subbd-grows/,"Quick Facts: ➡️ Ethereum is facing significant bearish pressure, struggling below its 50-day moving average and fighting to stay above $2K. ➡️ A consistent decisive break below $2K support could trigger a deeper correction toward the $1.4K psychological mark.…",2026-02-11 11:34:36+00:00,Ben Wallis,"Quick Facts:
<ul><li> Ethereum is facing significant bearish pressure, struggling below its 50-day moving average and fighting to stay above $2K.</li><li> A consistent decisive break below $2K suppo… [+4105 chars]"
GOOGL,Ethereum Price Drifts Lower as Bearish Pressure Mounts: SUBBD Community Grows,Bitcoinist,https://bitcoinist.com/ethereum-price-drifts-lower-subbd-grows/,"Quick Facts: ➡️ Ethereum is facing significant bearish pressure, struggling below its 50-day moving average and fighting to stay above $2K. ➡️ A consistent decisive break below $2K support could trigger a deeper correction toward the $1.4K psychological mark.…",2026-02-11 11:34:36+00:00,Ben Wallis,"Quick Facts:
<ul><li> Ethereum is facing significant bearish pressure, struggling below its 50-day moving average and fighting to stay above $2K.</li><li> A consistent decisive break below $2K suppo… [+4105 chars]"
AAPL,"Clinical Perinatal Software Market to Reach USD 542.86 Million by 2033, Driven by Rising Focus on Maternal and Neonatal Care – SNS Insider",GlobeNewswire,https://www.globenewswire.com/news-release/2026/02/11/3236095/0/en/Clinical-Perinatal-Software-Market-to-Reach-USD-542-86-Million-by-2033-Driven-by-Rising-Focus-on-Maternal-and-Neonatal-Care-SNS-Insider.html,"Growing High-Risk Pregnancies, EHR Integration, and Predictive Analytics Accelerate Global Adoption of Advanced Perinatal Management Solutions. Growing High-Risk Pregnancies, EHR Integration, and Predictive Analytics Accelerate Global Adoption of Advanced Per…",2026-02-11 11:33:00+00:00,SNS Insider pvt ltd,"Austin, United States, Feb. 11, 2026 (GLOBE NEWSWIRE) -- According to SNS Insider, the Clinical Perinatal Software Market size is valued at USD 237.10 Million in 2025 and is expected to reach USD 542… [+9843 chars]"
GOOGL,"Clinical Perinatal Software Market to Reach USD 542.86 Million by 2033, Driven by Rising Focus on Maternal and Neonatal Care – SNS Insider",GlobeNewswire,https://www.globenewswire.com/news-release/2026/02/11/3236095/0/en/Clinical-Perinatal-Software-Market-to-Reach-USD-542-86-Million-by-2033-Driven-by-Rising-Focus-on-Maternal-and-Neonatal-Care-SNS-Insider.html,"Growing High-Risk Pregnancies, EHR Integration, and Predictive Analytics Accelerate Global Adoption of Advanced Perinatal Management Solutions. Growing High-Risk Pregnancies, EHR Integration, and Predictive Analytics Accelerate Global Adoption of Advanced Per…",2026-02-11 11:33:00+00:00,SNS Insider pvt ltd,"Austin, United States, Feb. 11, 2026 (GLOBE NEWSWIRE) -- According to SNS Insider, the Clinical Perinatal Software Market size is valued at USD 237.10 Million in 2025 and is expected to reach USD 542… [+9843 chars]"
